codigo;nombre;tipo;intensidad;tiempo;descripcion;ultimaSemanaUso
E001;Trote suave;CARDIOVASCULAR;BASICO;15;Trotar a ritmo comodo manteniendo respiracion controlada;0
E002;Bicicleta estatica;CARDIOVASCULAR;INTERMEDIO;20;Pedalear a ritmo constante durante el tiempo indicado;1
E003;Burpees;CARDIOVASCULAR;AVANZADO;12;Realizar burpees controlando la postura y la respiracion;2
E004;Saltar la cuerda;CARDIOVASCULAR;INTERMEDIO;10;Saltar de forma continua manteniendo coordinacion;1
E005;Sprint corto;CARDIOVASCULAR;ALTO_RENDIMIENTO;8;Correr a maxima velocidad en intervalos cortos;3
E006;Sentadillas;FUERZA;BASICO;10;Bajar y subir manteniendo la espalda recta;2
E007;Flexiones;FUERZA;INTERMEDIO;10;Realizar flexiones manteniendo el cuerpo alineado;1
E008;Peso muerto;FUERZA;AVANZADO;15;Levantar el peso manteniendo la espalda firme;2
E009;Plancha abdominal;FUERZA;BASICO;8;Mantener el cuerpo recto apoyado en antebrazos;2
E010;Dominadas;FUERZA;ALTO_RENDIMIENTO;12;Elevar el cuerpo usando la fuerza de brazos y espalda;3
